Hedysarum xizangensis	西藏岩黄芪
Bryconops durbini	德宾瑙脂鲤
Haliclona tufa	有孔蜂海绵
Cotoneaster hebephyllus var. fulvidus	黄毛钝叶栒子
Pericallis hybrida	瓜叶菊
Pachygrapsus crassipes	粗腿厚纹蟹
Spiraea chanicioraea	阿拉善绣线菊
Rhacophorus shelfordi	谢尔福德树蛙
Gastrochilus japonicus	黄松盆距兰
Antennarius striatus	条纹躄鱼
Callosciurus erythraeus	赤腹丽松鼠;赤腹松鼠
Barbilophozia lycopodioides	阔叶细裂瓣苔
Aristolochia contorta	北马兜铃
Cynanchum pingshanicum	平山白前
Ribes odoratum	香茶藨子
Percarina demidoffi Nordmann	小鲈
Amygdalum peasei	花杏蛤
Leontopodium stoloniferum	匍枝火绒草
Laportea fujianensis	福建红小麻
Orientomysis leptura	窄尾东刺糠虾
Carex cremostachys	燕子薹草
Cerasus patentipila	散毛樱桃
Utica borneensis	婆罗扁平蟹
Teratozephyrus zhejiangensis	浙江铁灰蝶
Ophiognomon triscnale Cope	似蛇蜥
Acrossocheilus rendahli	似细身光唇鱼;拟细身光唇鱼
Systropus fujianensis	福建姬蜂虻
Tanius sinensis	中国谭氏龙
Rana m.macrodon Dumeril et Bibron	大齿蛙指名亚种
Aneides flavipunctatus	黑黄攀螈
Phyllodactylus weileri	喀麦隆叶趾虎
Spalax arenarius	沙地鼹形鼠
Dryopteris pteridoformis	蕨状鳞毛蕨
Larinia elegans	华丽肥蛛
Stewartia villosa	齿叶柔毛紫茎;柔毛紫茎;广东柔毛紫茎
Cribraria enodis	无节筛菌
Adiantum fimbriatum var. shensiense	陕西铁线蕨
Protobothrops jerdonii	菜花烙铁头
Clerodendrum longilimbum	长叶大青
Erechtites hieraciifolius	梁子菜
Anthus gustaviSwinhoe	北鹨
Neolitsea buisanensis	武威山新木姜子
Hildenbrandia rubra	胭脂藻
Bienotherium elegans Young	美小卡氏兽
Mehelya vernayi Bogert	安哥拉锉蛇
Mnesithea striata	毛杆空轴茅;空轴茅
Hemiramphus dussumieri Cuvier et Valenciennes	方柱鱵
Heterophasia picaoidesHodgson	长尾奇鹛
Sphaenorhynchus orophilus Lutz	山栖圆吻蛙
Alethe anomala	绿肋火冠鸲
Odontophrynus occidentalis Berg	西部齿泽蟾
Epinephelus maculatus	花点石斑鱼
Puccinia iwateyamensis	岩手山柄锈菌
Torodora pennunca	羽突瘤祝蛾
Neosarmatium punctatum	斑点新胀蟹
Atule djeddaba	及达叶鲹
Natica albifasciata	白带玉螺
Merremia hainanensis	海南山猪菜
Variola albimarginata	白边侧牙鲈
Sunamphitoe plumosa	毛日藻钩虾
Bufonaria rana	习见赤蛙螺
Aphyosemion coeruleum	蓝旗鳉
Pelopidas subochraceus barneyi	近赭谷弄蝶
Dracocephalum stamineum	长蕊青兰
Pinus virginiana	矮松
Maera bidentata	双齿细身钩虾
Cymatogaster aggregata Gibbons	海鱼与
Eulepethus hamifera	真鳞虫
Dioscorea decipiens var. glabrescens	滇薯
Castanopsis hystrix	红锥
Cyclodictyon blumeanum	南亚圆网藓
Berchemia racemosa var. magna	大黄鳝藤
Ptychadena bibroni	卞氏皱蛙
Adrianichthys kruyti Weber	怪颌鳉
Hydrocharis dubia	水鳖
Primula graminifolia	禾叶报春
Melanocorypha maxima subsp. holdereri	长嘴百灵
Elsholtzia myosurus	鼠尾香薷
Typosyllis nigropharyngea	黑咽模裂虫
Rhododendron huianum	凉山杜鹃
Prinia flaviventris subsp. delacouri	黄腹山鹪莺
Eleutherodactylus antillensis	安的列斯卵齿蟾
Oligostachyum lubricum	四季竹
Emberiza schoeniclus subsp. minor	芦鹀
Cotinga ridgwayi	电绿伞鸟
Thalassoma amblycephalus	钝头锦鱼
Harpactes oreskios subsp. stellae	橙胸咬鹃
Rhacophorus eiffingeri	琉球树蛙
Cubiceps athenae Haedrich	大眼方头鲳
Tomopteris krampi	透明浮蚕
Astragalus zaissanensis	斋桑黄耆
Pterois volitans	翱翔蓑鲉;斑鳍蓑鲉
Camarhynchus parvulus	小树雀
Arabis auriculata	耳叶南芥
Hasora taminata	银针趾弄蝶
Salmo nigripinnis	黑鳍鳟
Beilschmiedia glauca	顶序琼楠;粉背琼楠
Bufo lughensis Loveridge	郁蟾蜍
Spindalis zena	纹头唐纳雀
Lethe cyrene	奇纹黛眼蝶
Rallus rougetii	高地秧鸡
Gobiobotia pappenheimi	潘氏鳅鮀;鳅鮀
Cladothela oculinotata	显眼枝疣蛛
Phymatopteris triloba	三指假瘤蕨
Berberis beijingensis	北京小檗
Adenophora longipedicellata	湖北沙参
Callerya fordii	广东崖豆藤
Eleutherodactylus lineatissimus	类条卵齿蟾
Syntypistis parcevirens	葩胯舟蛾
Creagrutus gephyrus	桥钩齿脂鲤
Apus acuticaudus	暗背刺尾雨燕
Begonia chuyuhshanensis	出云山秋海棠
Oreophryne rookmaakeri Mertens	鲁克岳蛙
Viola hirtipes	毛柄堇菜
Callithrix kuhlii	库氏狨
Cosmochilus nanlaensis	南腊方口魮;南腊方口鲃
Schwetschkea courtoisii	华东附干藓
Arius felis	海鲇
Santalum album	檀香
Alyxia taiwanensis	台湾链珠藤
Mus terricolor	土色小家鼠
Anemarrhena asphodeloides	知母
Lanius gubernator	埃米氏红背伯劳
Oligostachyum spongiosum	斗竹
Hyla stepheni	斯蒂芬雨蛙
Pedicularis petelotii	裴氏马先蒿
Puccinia muehlenbeckiae	竹节蓼柄锈菌
Viscum loranthi	聚花槲寄生
Aconitum hamatipetalum	钩瓣乌头
Lagocephalus lagocephalus	花鳍兔头鲀;兔头鲀
Euphrasia pectinata	小米草;高枝小米草;四川小米草
Heteroscelus brevipesGressitt	灰尾(漂)鹬
Pachycephalopsis poliosoma	白喉厚头鹟
Sandalia rhodia	玫瑰履螺
Amphiura leptotata	裸孔阳遂足
Aspidomorphus diadema	澳洲拟盾蛇
Siptornopsis hypochondriacus	大针尾雀
Anopheles koreicus	朝鲜疟蚊
Arthraxon typicus	洱源荩 草
Passer luteus	金(色)麻雀
Indocalamus decorus	美丽箬竹
Cercomala melanura	黑尾岩(即鸟)
Cremanthodium angustifolium	狭叶垂头菊
Illigera trifoliata	三叶青藤;兜状青藤
Hypericum lagarocladum	狭叶金丝桃;纤枝金丝桃
Enydra fluctuans	沼菊
Gerbillus latastei	拉塔斯小沙鼠
Astyanax depressirostris	扁吻丽脂鲤
Pteralopex pulchra	美丽锥齿狐蝠
Zosterops atricapilla	黑冠绣眼鸟
Pericrocotus brevirostris subsp. affinis	短嘴山椒鸟
Moenkhausia diktyota	黑带直线脂鲤
Onosma sinicum	小叶滇紫草
Moringua abbreviata	线蚓鳗
Gonostoma atlanticus	西钻光鱼
Pseudolysimachion spicatum	穗花
Ammodytes personatus	玉筋鱼
Phenacogaster maculoblongus	椭斑平腹脂鲤
Palaemon paucidens	条纹长臂虾
Graptemys geographica	地理图龟
Astragalus golmunensis var. paucipilus	少毛格尔木黄耆
Pheosiopsis ronbrechlini	荣夙舟蛾
Hahnia thorntoni	索氏栅蛛
Dictyosphaeria bokotensis	异胞网球藻
Comibaena latilinea	宽线绿尺蛾
Parus varius	杂色山雀
Ctenopteris merrittii	拟虎尾蒿蕨
Chrysosoma ruyuanense	乳源金长足虻
Gerbillus brockmani	布罗克曼小沙鼠
Acheilognathus gracilis Nichols	无须鱊
Psittacula finschii	灰头鹦鹉
Gandaca harina subsp. hainana	玕粉蝶海南亚种
Bothrops ammodytoides Leybold	阿根廷矛头蝮
Ajuga ciliata var. chanetii	筋骨草陕甘变种
Arca avellana	榛蚶
Melanotrochilus fuscus	黑蜂鸟
Primula divaricata	叉梗报春
Chamaeleo pfefferi	喀麦隆避役
Pseudophegopteris rectangularis	对生紫柄蕨
Periclimenes chacei	切斯岩虾
Orthotomus sutorius (Pennant,)	长尾缝叶莺
Ctenopteris subfalcata	虎尾蒿蕨
Daphne odora f. marginata	金边瑞香
Sterculia henryi	大围山苹婆;蒙自苹婆
Ecsenius frontalisCuvier et Valenciennes	额异齿鳚
Bufo kabischi	科氏蟾蜍
Viburnum opulus	毛叶鸡树条;鸡树条;欧洲荚蒾
Hemigrammus megaceps	大头半线脂鲤
Mirolabrichthys tuka Herre	异唇鮨
Stachys chinensis	华水苏
Carex hirtiutriculata	糙毛囊薹草
Testudo nanus	小陆龟
Eleutherodactylus whymperi	韦氏卵齿蟾
Asperula orientalis	蓝花车叶草
Hongshuia banmo	板么红水鱼
Caecilia attenuata	窄真蚓
Delphinium pseudocaeruleum	拟蓝翠雀花
Saron inermis	无刺扫帚虾
Cirrhinus fulungee	富露鲮
Hercostomus hualienensis	花莲寡长足虻
Lechriodus fletcheri	弗氏倾蟾
Elaeagnus griffithii	少花胡颓子;那坡胡颓子;钟花胡颓子
Urochloa paspaloides	雀稗尾稃草
Synbranchus bengalensis	孟买合鳃鱼
Drimycarpus racemosus	辛果漆
Bothriospermum zeylanicum	柔弱斑种草
Cephalanthera bijiangensis	碧江头蕊兰
Photinia integrifolia	全缘石楠;黄花全缘石楠
Prosphorachaeus suluensis	苏禄似英雄蟹
Elaeocarpus limitaneioides	小花杜英
Streptoprocne semicollaris	白枕黑雨燕
Betula costata	硕桦;柔毛硕桦
Xiphidiola clavata	棒尾小蛩箭螽
Myrmotherula leucophthalma	白眼蚁鹩
Meliphaga notata	卢因氏吸蜜鸟
Rutilus kutum	库图拟鲤
Spilanthes callimorpha	美形金钮扣
Eleutherodactylus brevipalmatus	小蹼卵齿蟾
Phymatosorus cuspidatus	光亮瘤蕨
Cyanopica cyanus subsp. swinhoei	灰喜鹊
Gentiana tubiflora	筒花龙胆
Physeter catodon	抹香鲸
Listriella longipalmata	长掌铲钩虾
Lepisorus sinensis	中华瓦韦
Bufo gariepensis	卡罗蟾蜍
Cynopotamus amazonus	亚马逊犬齿河脂鲤
Prunella atrogularis (Brandt,)	黑喉岩鹨
Elaphe cantoris	坎氏锦蛇
Thetidia smaragdaria	白点二线绿尺蛾
Comibaena swanni	淋绿尺蛾
Rana grisea van Kampen	格赖斯蛙
Hyla r.ioaquini A.Lutz	雷迪雨蛙约昆亚种
Liolaemus multimaculatus	多斑平咽蜥
Atraphaxis compacta	拳木蓼
Sasia ochracea	白眉棕啄木鸟;棕啄木鸟;棕啄木
Berberis valida	宁远小檗
Chaetoseris dolichophylla	长叶毛鳞菊
Rubus gyamdaensis var. glabriusculus	川西柔毛悬钩子
Verasper variegatus	圆斑星鲽
Turdus ravidus	大开曼鸫
Centropus ateralbus	新不列颠鸦鹃
Echimys lamarum	巴伊亚树棘鼠
Ophiomusium facundum	美丽瓷蛇尾
Corybas fanjingshanensis	梵净山铠兰
Rhamnus esquirolii var. glabrata	木子花
Carex inanis	毛囊薹草
Bufo garmani Meek	加曼蟾蜍
Gentiana scabrida	矮玉山龙胆;玉山龙胆
Pericrocotus cantonensisSwinhoe	小灰山椒鸟
Arisaema utile	网檐南星
Acer pauciflorum	稀花槭
Cerasus pusilliflora	细花樱桃
Alectoris graeca	欧石鸡
Halosydnopsis pilosa	疏毛穗鳞虫
Hoya mekongensis	尾叶球兰
Allium ramosum	野韭
Apharitis acamas	富丽灰蝶
Mirollia obscuripennis	污翅奇露螽
Rallina fasciata	红脚秧鸡;红腿斑秧鸡;红脚斑秧鸡
Macrorhamphosus  scolopax	鹭管鱼
Rochinia pulchra	美丽锥刺蟹
Urocystis arxanensis	阿尔山条黑粉菌
Aramidopsis plateni	普拉氏秧鸡
Tamias alpinus	高山花鼠
Neocaridina fukiensis	福建新米虾
Rallus wetmorei	纯肋秧鸡
Actinidia fulvicoma	糙毛猕猴桃;灰毛猕猴桃;黄毛猕猴桃;厚叶猕猴桃
Avetianella xystrocerae	双条天牛跳小蜂
Otocinclus vittatus Regan	纵带筛耳鲇
Apterygocampus epinnulatus	少鳍海龙
Carex manca subsp. wichurai	短叶薹草
Rana crassiovi Boulenger	厚重蛙
Dicaeum cruentatum subsp. cruentatum	朱背啄花鸟
Myodes rufocanus subsp. changbaishanensis	长白山亚种
Diplothrix legatus	琉球鼠
Laevicardium pulcherrimum	美丽滑鸟蛤
Eupodotis cearulescens	蓝鸨
Salvelinus maxillaris	颚红点鲑
Peipehsuchus teleorhinus	北碚鳄
Ranunculus trigonus var. strigosus	伏毛棱喙毛茛
Sphaerodactylus copei Stiendachner	柯氏球趾虎
Puntius gelius	金色无须魮
Dasypus sabanicola	委内瑞拉犰狳
Diodon novemmaculatus	九斑刺鲀
Myrmarachne formosana	台湾蚁蛛
Hemidactylus garnotii	锯尾蜥虎
Crotalaria linifolia	线叶猪屎豆
Symplocos glomerata	团花山矾
Rosa davurica var. glabra	光叶山刺玫
Carex drepanorhyncha	镰喙薹草
Eurostopodus guttatus	点斑毛腿夜鹰
Allantodia incompta	疏裂短肠蕨
Pegia nitida	藤漆
Dendromus lovati	埃塞俄比亚攀鼠
Potomotyphlus melanochrous Taylor	黑水蚓
Glaridoglanis andersonii	凿齿鮡
Camellia oleifera	油茶
Cerasus dielsiana var. abbreviata	短梗尾叶樱桃
Lepidium campestre	绿独行菜
Microterys skotasmos	暗色花翅跳小蜂
Athyma fortuna subsp. guangxiensis	幸福带蛱蝶广西亚种
Cymbopogon tungmaiensis	通麦香茅
Alouatta coibensis	科岛吼猴
Petrocosmea oblata var. latisepala	宽萼石蝴蝶
Hemipteronotus pentadactylusLinnaeus	五斑离鳍鱼
Pitta phayrei (Blyth,)	双辫八色鸫
Caridina serratirostris	锯额米虾
Pleione bulbocodioides	独蒜兰
Ulmus lamellosa	脱皮榆
Bufo valhallae Meade-Waldo	维尔蟾蜍
Puccinia asaricola	细辛生柄锈菌
Drassodes parauritus	拟耳状掠蛛
Clethrionomys gapperi	加氏(鼠平)
Kobus ellipsiprymnus	水羚
Zephyranthes carinata	韭莲
Gyrinocheilus aymonieri	双孔鱼;金边双孔鱼
Ruta graveolens	芸香
Juncus taonanensis	洮南灯心草
Utiaritichthys longidorsalis	长背犹他脂鲤
Erronea caurica	厚缘拟枣贝
Johnius belengeri	皮氏叫姑鱼
Ceradocus nanhaiensis	南海角钩虾
Melitaea scotosia	大网蛱蝶
Rhabdornis inornatus	素头纹雀
Alpheus brevicristatus	短脊鼓虾
Oreophryne flava	黄岳蛙
Puccinia brachypodii-phoenicoidis	非洲短柄草柄锈菌 戴维斯变种
Landoltia punctata	斑萍
Machilus shweliensis	瑞丽润楠
Pternopetalum molle var. dissectum	裂叶囊瓣芹
Caprimulgus asiaticus	印度夜鹰
Calystegia sepium	欧旋花
Aristolochia scytophylla	革叶马兜铃
Circlotoma transculpta	横突圆盘螺
Primula heucherifolia	宝兴掌叶报春
Xylocopa frieseana	茀氏绒木蜂
Flemingia chappar	墨江千斤拔
Peucedanum chinensis	林地前胡
Bruguiera cylindrica	柱果木榄
Aquixalus naso	吻泛树蛙
Callimico goeldii	节尾猴
Aster ageratoides var. micranthus	三脉紫菀小花变种
Rana boulengeri Guenther	棘腹蛙
Ristella beddomii Boulenger	四指蜥
Filistata marginata	缘管网蛛
Inquisitor formidabilis	纺锤裁判螺
Caridina lima	锉肢米虾
Castor fiber	河狸
Sinocladia qionghaiensis	琼海华枝藻
Laurencia articulata	节枝软凹藻
Tridentiger obscurus	暗缟鰕虎鱼;缟鰕虎鱼
Bryconamericus lassorum	拉森啮脂鲤
Antennarius borehensis	驼背躄鱼
Corydalis macrantha	大花紫堇
Dregea sinensis var. corrugata	贯筋藤
Ciccaba virgata	斑叫鸮
Nectarinia kilimensis	青铜花蜜鸟
Galeorhinus galeus	翅鲨
Paraplagusia guttata	栉鳞须鳎
Ligusticum maireii	白龙藁本
Chirita fimbrisepala	蚂蟥七;密毛蚂蝗七
Pimpinella xizangensis	多花茴芹
Lamottemys okuensis	奥库鼠
Astragalus yangtzeanus	扬子黄耆
Aneides aeneus	铜绿攀螈
Boesenbergia albomaculata	白班凹唇姜
Paeonia obovata	毛叶草芍药;草芍药
Polystichum discretum	分离耳蕨
Lamprotornis corruscus	黑腹辉椋鸟
Pteronotus personatus	魏氏髯蝠
Attila torridus	赭色阿蒂霸鹟
Leanira coeca	科氏刺梳鳞虫
Vipera russelii russelii	蝰蛇指名亚种
Gentiana burmensis	缅甸龙胆
Ambystoma mabeei	马比钝口螈
Syzygium stenocladum	纤枝蒲桃
Bryum cellulare	柔叶真藓
Aspidistra fungilliformis	伞柱蜘蛛抱蛋
Retiflustra reticulum	网形网藻苔虫
Nepeta longibracteata	长苞荆芥
Lethe christophi	棕褐黛眼蝶
Dendrobium loddigesii	美花石斛
Microphysogobio yaluensis	鸭绿小鳔鮈;鸭绿江小鳔鮈
Carex pseudo-supina	高山薹草
Myristica yunnanensis	云南肉豆蔻
Callulina kreffti Nieden	克雷丽条蛙
Cyclobalanopsis dinghuensis	鼎湖青冈
Castanopsis tcheponensis	薄叶锥
Elatostema acuminatum	渐尖楼梯草;短齿渐尖楼梯草
Caranx lugubris	阔步鲹
Polystichum kwangtungense	广东耳蕨
Bromus japonicus	雀麦
Pleurodema bibroni	卞氏肿肋蟾
Camellia sinensis var. dehungensis	德宏茶
Neon ningyo	日本新跳蛛
Ilex delavayi var. muliensis	木里陷脉冬青
Dacryopilumnus rathbunae	拉氏泪刺毛蟹
Hyla crepitans Wied	鼠吱雨蛙
Chondrostoma kubanicum	库班软口鱼
Bathylagus pacificus	细体海珍鱼
Clematis pashanensis var. pashanensis	巴山铁线莲
Polytrichum swartzii	微齿金发藓
Liomys spectabilis	哈利斯科棘小囊鼠
Uloborus walckenaerius	草间妩蛛
Triplophysa alticeps	隆头高原鳅
Osteobrama cotio peninsularis	大头骨鳊
Lophanthus schrenkii	天山扭藿香
Phrynobatrachus bonebergi	博恩蟾蛙
Pseudopleuronectes americanus	美洲黄盖鲽
Halichoeres centiquadrus Lacepede	方斑海猪鱼
Gastrochilus alatus	膜翅盆距兰
Heterandria bimaculatus	双斑异小鳉
Elosia pulchra Lutz	花泽润蟾
Panulirus japonicus	日本龙虾
Holothuria fuscogliva	黄乳海参
Catreus wallichii	彩雉
Cricetomys gambianus	非洲巨鼠
Echeneis naucrates	鮣
Arborophila rufogularisBlyth	红喉山鹧鸪
Bulbophyllum wuzhishanense	五指山石豆兰
Stelletta globostellatta	球星星芒海绵
Psammophilus dorsalis	荒漠蜥
Lithophaga divaricalx	叉膜石蛏
Epinephelus poecilonotus	琉璃石斑鱼
Lepirodes takii	龙氏拟美蛤
Colquhounia compta var. mekongensis	金江火把花沧江变种
Microterys liaoi	廖氏花翅跳小蜂
Caragana manshurica	东北锦鸡儿
Lannea coromandelica	厚皮树
Halpe homolea subsp. nephele	独子酣弄蝶长江亚种
Hemiramphus sajori	日本鱵
Oedipina stuarti	斯图尔特板足螈
Notoseris porphyrolepis	南川紫菊
Brachydontium trichodes	短齿藓
Damaliscus hunteri	亨氏大羚羊
Parodontophora deltensis	三角洲拟齿线虫
Picris hieracioides	单毛毛连菜;毛连菜
Uromastyx princeps	桑给巴尔刺尾蜥
Phlogacanthus pyramidalis	金塔火焰花
Thalera lacerataria	四点波翅青尺蛾
Poa bucharica	布查早熟禾;卡拉蒂早熟禾
Hemiculterella sauvagei	四川半鰶;半餐;半飱鱼
Ctenopteris mollicoma	南洋蒿蕨
Pelobates s.boettgeri Mertens	叙利亚锄足蟾贝氏亚种
Astragalus wushanicus	巫山黄耆
Emberiza cioides subsp. castaneiceps	三道眉草鹀
Vandenboschia subclathrata	琉球瓶蕨
Hirundo griseopyga	灰腰燕
Cotinga amabilis	秀丽伞鸟
Carex idzuroei	马菅
Sabia lanceolata	披针清风藤
Eulalia pruinosa	粉背金茅
Pyrrhocorax pyrrhocorax subsp. brachypus	红嘴山鸦
Psittacula alexandri subsp. fasciata	绯胸鹦鹉
Salpingotus crassicauda	肥尾心颅跳鼠
Trichoglossus flavoviridis	黄绿吸蜜鹦鹉
Gymnopternus rollei	卷须行脉长足虻
Rosa macrophylla	腺叶大叶蔷薇;大叶蔷薇
Pteris amoena	红秆凤尾蕨
Deroptyus accipitrinus	鹰头鹦哥
Pyracantha angustifolia	窄叶火棘
Astragalus orbicularifolius	圆叶黄耆
Coladenia laxmi subsp. sobrina	黄窗弄蝶海南亚种
Grammitis nuda	长孢禾叶蕨
Catharus fuscescens	棕色夜鸫
Coelotes pseudoterrestris	拟陆隙蛛
Aster poliothamnus	灰枝紫菀
Platylophus galericulatus	马来冠鸦
Cabrita leschenaulti	林蜥
Tutufa oyamai	中国土发螺
Cortinarius decoloratus	褐色丝膜菌
Salvia splendens	一串红
Maianthemum stenolobum	少叶鹿药
Pertya glabrescens	长花帚菊
Psilotrichum ferrugineum var. hainanense	海南林地苋
Rubus coreanus	毛叶插田泡;插田泡
Fistulobalanus albicostatus	白脊管藤壶
Uegitglanis zammaranoi Gianferrari	无眼胡鲇
Bryum caespiticium	丛生真藓
Salix kusanoi	水社柳
Hippolytia kennedyi	垫状女蒿
Ophiorrhiza longzhouensis	龙州蛇根草
Garrulax striatus subsp. vibex	条纹噪鹛
Raja fyllae Luken	叶鳐
Pedicularis altifrontalis	高萼马先蒿
Rubus pedunculosus	密毛纤细悬钩子
Nectogale elegans	蹼麝鼩
Youngia atripappa	纤细黄鹌菜
Phyllodactylus baessleri Werner	秘鲁叶趾虎
Taeniura melanospilos	黑斑条尾魟
Gammiella ceylonensis	小厚角藓
Adinandra retusa	凹萼杨桐
Criniger ndussunensis	白髭冠鹎
Anthrax mongolicus	蒙古岩蜂虻
Gerygone magnirostris	沼泽吵刺莺
Issikiopteryx aurolaxa	金银祝蛾
Paralinhomoeus attenuatus	尖细拟线形线虫
Angelica duclouxii	东川当归
Hyla boesemani Goin	贝泽雨蛙
Belonesox belizanus Kner	魣鳉
Deutzia silvestrii	红花溲疏
Ficedula narcissina	黄眉(姬)鹟;黄眉姬鹟;黄眉黄鹟
Prohimerta yunnanea	云南安露螽
Pingasa lariaria	直粉尺蛾
Orthogonys chloricterus	巴西黄绿唐纳雀
Sibynophis melanocephalus	纵纹剑蛇
Fistularia villosa Klunzinger	长烟管鱼
Mantidactylus betsileanus	贝齐螂指蛙
Artemisia eriopoda var. maritima	渤海滨南牡蒿
Corydoras reticulatus Fraser-Brunner	网纹兵鲇
Leptopoecile sophiae subsp. sophiae	花彩雀莺
Radula complanata	扁萼苔
Mucuna terrens	贵州黧豆
Haplodrassus moderatus	适单蛛
Hylotelephium bonnafousii	川鄂八宝
Acrocephalus aedon (Pallas,)	厚嘴苇莺
Aletris glandulifera	腺毛粉条儿菜
Phyllodesma mongolicum	蒙古榆枯叶蛾
Ixora gracilis	纤花龙船花
Neoxylophaga lobata	片新凿木蛤
Barbus trevelyani	特里氏魮
Caretta caretta olivacea	(左虫右上山下隽)龟
Zosterops vellavella	韦拉绣眼鸟
Puntius cataractae	野无须魮
Eucyclodes pastor	牡彩青尺蛾
Myoxocephalus quadricornis	四角床杜父鱼
Bauhinia cercidifolia	紫荆叶羊蹄甲
Chama japonica	日本猿头蛤
Salvinia cuculata	勺叶槐叶苹
Bufo missionum	米蟾蜍
Hylophorbus dubius	混胖蛙
Citrus maxima cv. Jinxiang	金香柚
Ptychomitrium polyphylloides	多枝缩叶藓
Mus neavei	鼩形小家鼠
Tripterospermum nienkui	香港双蝴蝶
Wendlandia jingdongensis	景东水锦树
Dibamus montanus Smith	高山双足蜥
Ptilinopus roseicapillus	马利亚那果鸠
Syzygium rysopodum	皱萼蒲桃
Oryza eichingeri	根状茎稻;紧穗稻
Typhlops floweri Boulenger	福氏盲蛇
Syzygium congestiflorum	团花蒲桃
Emoia atrocostata	岩岸岛蜥;岛蜥
Osteochilus kahajanensis	卡亨纹唇鱼
Puccinia aphanicondra	隐秘柄锈菌
Gentiana apiata	太白龙胆
Garrulax rufifrons	红额噪鹛
Microlepia matthewii	岭南鳞盖蕨
Gobiobotia macrocephala	大头鳅鮀
Pheosiopsis viresco	绿夙舟蛾
Scincella himalayana	喜山滑蜥
